Institution Name,Main Office,Branch Name,Established Date (MMDDYYY),Acquired Date(MMDDYYY),Street Address,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
Citi Bank,0,Jurupa Valley Branch,6 de enero de 1995,09/25/2008,7800 LIMONITE AVENUE,Riverside,CA,92509,33.97844,-117.4534,63786,63040,70246,72604,75790,82405,91622
Citi Bank,0,Lake Elsinore Branch,11/29/1957,09/25/2008,31575 CANYON ESTATES,Riverside,CA,92530,33.65613,-117.41648,64890,62724,69287,69636,77717,85887,98151
Citi Bank,0,Lake Elsinore Stater Bros Bnk Ctr Br,3 de agosto de 2010,,29995 CANYON HILLS ROAD,Riverside,CA,92532,33.66738,-117.26208,1161,3674,7396,10760,14939,22388,25538
Citi Bank,0,Hemet Plaza Branch,1 de enero de 1919,09/25/2008,1800 EAST FLORIDA AVENUE,Riverside,CA,92544,33.74764,-116.95249,120339,112004,115660,116837,115416,116975,124015
Citi Bank,0,Hemet Branch,10 de marzo de 1998,09/25/2008,105 NORTH CAWSTON AVENUE,Riverside,CA,92545,33.74778,-117.0155,104015,102194,106267,109295,117027,124451,127319
Citi Bank,0,Towngate Blvd Branch,10/18/1993,09/25/2008,22950 TOWNGATE BOULEVARD,Riverside,CA,92553,33.93533,-117.26377,92001,103130,106327,101292,108757,120662,133036
Citi Bank,0,Iris and Lasselle Branch,10/24/2005,09/25/2008,26220 IRIS AVE,Riverside,CA,92555,33.89283,-117.20284,26042,28847,32253,33556,36532,45259,48855
Citi Bank,0,Moreno Valley Beach State Bros. Banking Center,5 de marzo de 2010,,14425 MORENO BEACH BLVD,Riverside,CA,92555,33.91093,-117.17411,383,2525,4250,5134,6168,7705,9097
Citi Bank,0,Stoneridge Towne Center Bnkg Ctr Brh,03/29/2011,,27060 FIR AVENUE,Riverside,CA,92555,33.90463,-117.10751,,1310,4494,7685,10817,15615,20466
Citi Bank,0,Murrieta Branch,05/29/1990,09/25/2008,40655 CALIFORNIA OAKS ROAD,Riverside,CA,92562,33.57246,-117.2036,96155,97243,110803,125419,137784,156704,171500
Citi Bank,0,San Jacinto Stater Bros Bnkg Ctr Br,3 de agosto de 2010,,1271 NORTH STATE STREET,Riverside,CA,92583,33.80397,-116.97203,1486,4001,5655,6384,8067,9643,11972
Citi Bank,0,Esplanade & San Jacinto Bnk Ctr Brh,04/19/2011,,1579 SOUTH SAN JACINTO AVENUE,Riverside,CA,92583,33.77184,-116.95864,,1433,6933,10457,14168,16076,21107
Citi Bank,0,Newport & Haun Banking Center Branch,11 de enero de 2011,,30032 HAUN RD,Riverside,CA,92584,33.68436,-117.17553,,,8234,16094,27406,38024,69038
Citi Bank,0,Sun City Branch,01/01/1889,09/25/2008,26750 MCCALL BOULEVARD,Riverside,CA,92586,33.71529,-117.19309,104629,100896,101953,98864,101251,109356,123804
Citi Bank,0,Temecula Office Branch,8 de diciembre de 1991,09/25/2008,29640 RANCHO CALIFORNIA ROAD,Riverside,CA,92591,33.50474,-117.14588,90364,98271,106957,113833,121401,132179,148074
Citi Bank,0,Ynez Road Branch,07/24/1989,09/25/2008,26411 YNEZ ROAD,Riverside,CA,92591,33.52338,-117.15903,87263,96913,103310,112410,130836,141620,166175
Citi Bank,0,Temecula - Redhawk Branch,02/28/2005,09/25/2008,32105 STATE RTE 79 S,Riverside,CA,92592,33.48089,-117.09869,56293,59905,68201,77649,90408,114768,133742
Citi Bank,0,Hidden Springs Rd Branch,02/28/2005,09/25/2008,36132 HIDDEN SPRINGS RD,Riverside,CA,92595,33.59616,-117.24801,45155,51477,55447,60088,68289,81396,100012
Citi Bank,0,French Valley Stater Bros Branch,3 de agosto de 2010,,30712 BENTON ROAD,Riverside,CA,92596,33.6355,-117.07316,1524,3413,8658,10832,12936,16420,20054
Citi Bank,0,Irvine - Irvine Boulevard Branch,10 de junio de 2003,09/25/2008,3973 IRVINE BLVD.,Orange,CA,92602,33.72173,-117.77119,68592,81675,96452,109583,121894,134430,159284
Citi Bank,0,Jamboree and Irvine Branch,8 de julio de 2012,,13128 JAMBOREE RD,Orange,CA,92602,,,,,,28691,45360,54995,71370
Citi Bank,0,Irvine - Quail Hill Branch,4 de mayo de 2004,09/25/2008,6875 QUAIL HILL PARKWAY,Orange,CA,92603,33.64765,-117.76747,43306,46390,61467,74232,94746,106701,115648
Citi Bank,0,Walnut Ave Branch,1 de enero de 1919,09/25/2008,5392 WALNUT AVE,Orange,CA,92604,33.68954,-117.77118,102683,104733,119178,129251,142501,156899,215573
Citi Bank,0,Culver & Walnut Banking Ctr Branch,12 de julio de 2009,,14282 CULVER DRIVE,Orange,CA,92604,33.70714,-117.78517,10510,25580,46770,57353,69060,85780,112193
Citi Bank,0,Culver & Deerfield Banking Center Branch,03/13/2012,,15275 CULVER DRIVE,Orange,CA,92604,33.69591,-117.79663,,,10214,36810,77245,110841,247389
Citi Bank,0,Barranca Parkway Branch,06/30/1988,09/25/2008,3978 BARRANCA PARKWAY,Orange,CA,92606,33.68488,-117.80956,158892,199146,198791,239153,306832,308068,369897
Citi Bank,0,Barranca and Von Karman Branch,04/16/2013,,2244 BARRANCA PKWY,Orange,CA,92606,,,,,,1489,16738,22651,35189
Citi Bank,0,Foothill Ranch Branch,4 de octubre de 1998,09/25/2008,26791 PORTOLA PARKWAY,Orange,CA,92610,33.67832,-117.66241,72472,78438,87540,93599,105702,109498,125855
Citi Bank,0,Campus Branch,11 de enero de 1934,09/25/2008,4543 CAMPUS DRIVE,Orange,CA,92612,33.64878,-117.83079,138671,154924,181337,206193,237876,267251,339126
Citi Bank,0,Park Place Branch,11/17/2015,,"2967 MICHELSON DRIVE, SUITE A",Orange,CA,92612,33.67125,-117.84538,,,,,,,11600
Citi Bank,0,Harvard and Main Branch,7 de diciembre de 2011,,"17585 HARVARD AVENUE, SUITE A",Orange,CA,92614,33.67683,-117.83166,,,22788,33096,44802,71172,91331
Citi Bank,0,Oak Creek Irvine Branch,7 de enero de 2007,09/25/2008,5665 ALTON PARKWAY,Orange,CA,92618,33.66862,-117.78655,18234,23012,28971,33826,42840,57245,56856
Citi Bank,0,Los Olivos Branch,03/15/2016,,8593 IRVINE CENTER DRIVE,Orange,CA,92618,33.64412,-117.74453,,,,,,,6689
Citi Bank,0,Irvine & Yale Banking Center Branch,11/16/2010,,4820 IRVINE BOULEVARD,Orange,CA,92620,33.71321,-117.75942,,8770,23686,36504,54516,74443,92171
Citi Bank,0,Irvine Sand Canyon Banking Center Branch,3 de julio de 2012,,6460 IRVINE BOULEVARD,Orange,CA,92620,33.69886,-117.73895,,,4487,27104,50496,93989,130238
Citi Bank,0,Corona Del Mar Banking Center,09/13/2013,,3446 EAST PACIFIC COAST HWY,Orange,CA,92625,33.59645,-117.87073,,,,,12315,30443,45528
Citi Bank,0,Baker Street Branch,04/20/1936,09/25/2008,1455 BAKER STREET,Orange,CA,92626,33.68007,-117.91801,68150,72084,84188,91571,101571,115350,132752
Citi Bank,0,Newport Blvd and 17th St Branch,10 de agosto de 2013,,105 E 17TH ST,Orange,CA,92627,33.63623,-117.92287,,,,,6559,12328,78586
Citi Bank,0,Dana Point Branch,7 de septiembre de 2007,09/25/2008,5 MANARCH BAY PLAZA,Orange,CA,92629,33.47722,-117.70499,32528,37297,53534,58222,71845,84182,231447
Citi Bank,0,El Toro Branch,01/01/1889,09/25/2008,23861 EL TORO RD,Orange,CA,92630,33.61604,-117.70616,83743,88967,107945,100237,97855,114627,120620
