branch_key,branch_name,branch_address,branch_city,branch_state,branch_zip
3818,thomas and 59th avenue branch,5734 WEST THOMAS ROAD,Maricopa,AZ,85031.0
3819,bell road-cave creek branch,17140 NORTH CAVE CREEK ROAD,Maricopa,AZ,85032.0
3820,cactus-tatum branch,12240 NORTH TATUM BOULEVARD,Maricopa,AZ,85032.0
3821,greenway and tatum branch,"4757 EAST GREENWAY ROAD, SUITE 108",Maricopa,AZ,85032.0
3822,buckeye and16th street branch,1528 EAST BUCKEYE ROAD,Maricopa,AZ,85034.0
3823,thomas and 75th avenue branch,2837 NORTH 75TH AVENUE,Maricopa,AZ,85035.0
3824,south mountain branch,6240 SOUTH CENTRAL AVENUE,Maricopa,AZ,85040.0
3825,baseline and 24th street branch,2440 EAST BASELINE ROAD,Maricopa,AZ,85042.0
3826,lower buckeye and 75th avenue branch,7515 W LOWER BUCKEYE,Maricopa,AZ,85043.0
3827,ahwatukee branch,4745 EAST ELLIOT ROAD,Maricopa,AZ,85044.0
3828,ray and ranch circle frys branch,3616 EAST RAY ROAD,Maricopa,AZ,85044.0
3829,chandler and 40th street branch,4040 EAST CHANDLER BOULEVARD,Maricopa,AZ,85048.0
3830,chandler and desert foothills banking center branch,15635 SOUTH DESERT FOOTHILLS PARKWAY,Maricopa,AZ,85048.0
3831,northern and 35th avenue branch,8001 NORTH 35TH AVENUE,Maricopa,AZ,85051.0
3832,thunderbird and 43rd avenue branch,4250 WEST THUNDERBIRD ROAD,Maricopa,AZ,85053.0
3833,mayo & scottsdale banking ctr branch,7165 EAST MAYO BLVD,Maricopa,AZ,85054.0
3834,happy valley & i 17 bnkg ctr branch,2430 WEST HAPPY VALLEY ROAD,Maricopa,AZ,85085.0
3835,anthem banking center branch,39516 NORTH DAISY MOUNTAIN DRIVE,Maricopa,AZ,85086.0
3836,carefree & 1-17 banking ctr branch,34630 NORTH VALLEY PARKWAY,Maricopa,AZ,85086.0
3837,anthem way and vision branch,4311 W ANTHEM WAY,Maricopa,AZ,85086.0
3838,gold canyon banking center branch,5305 SOUTH SUPERSTITION MOUNTAIN DRIVE,Pinal,AZ,85118.0
3839,apache junction branch,1148 WEST APACHE TRAIL,Pinal,AZ,85120.0
3840,casa grande branch,1201 EAST FLORENCE BOULEVARD,Pinal,AZ,85122.0
3841,mccartney & pinal banking ctr branch,2812 NORTH PINAL AVENUE,Pinal,AZ,85122.0
3842,maricopa banking center branch,21650 NORTH JOHN WAYNE PARKWAY,Pinal,AZ,85139.0
3843,combs and gantzel branch,39 WEST COMBS ROAD,Pinal,AZ,85140.0
3844,rittenhouse and ellsworth branch,21362 S ELLSWORTH LOOP RD,Maricopa,AZ,85142.0
3845,johnson ranch branch,30963 N GOLF CLUB DR,Pinal,AZ,85143.0
3846,florence & i-10 banking center branch,2437 EAST FLORENCE BOULEVARD,Pinal,AZ,85194.0
3847,mesa main branch,61 N COUNTRY CLUB DR,Maricopa,AZ,85201.0
3848,dobson ranch branch,1761 WEST BASELINE ROAD,Maricopa,AZ,85202.0
3849,south dobson rd and main branch,"28 SOUTH DOBSON ROAD, SUITE 101",Maricopa,AZ,85202.0
