product_id,product_name,product_description
4612,ZAPATOS,Zapato para niÑa marca ORTO UNO modelo 5650
4613,ZAPATOS,Zapatilla para dama marca GRECO modelo 277513
4614,ZAPATOS,Calzado para dama marca FLEXI modelo A8301
4615,ZAPATOS,Zapato para dama marca ZARINA modelo 210K3
4616,ZAPATOS,Zapatos para niÑa  arca RILO GIRLS modelo CICEG 210
4617,ZAPATOS,Tennis para niÑo marca YUYIN SPORT modelo 2702
4618,ZAPATOS,Zapato para caballero marca FLEXI modelo 68901
4619,ZAPATOS,Botas de dama marca YUYN modelo 2313
4620,ZAPATOS,Tennis de niÑomarca SPALDING modelo 20840
4621,ZAPATOS,Tennis para dama marca SPALDING modelo 20730
4622,ZAPATOS,Bota para dama marca FUROR modelo 01001
4623,ZAPATOS,Botas para caballero marca SWISSNAVY modelo 07902
4624,ARTICULOS DEPORTIVOS,Balon de basketball marca SPALDING en empaque de carton
4625,ZAPATOS,Botin mujer  marca DIMAGIO  S.A. DE C.V.
4626,ZAPATOS,Bota mujer marca FUSION
4627,ZAPATOS,Zapato hombre marca TRIPLES
4628,ZAPATOS,Zapato marca CLASMEN
4629,PRENDAS DE VESTIR,Sueter para dama color gris marca LINEAS modelo 18735
4630,PLAYERAS,Playera para niÑa color verde marca LINEAS modelo 20482
4631,PRENDAS DE VESTIR,Sueter push up olimpico color blanco marca OYSHO modelo 0120
4632,PANTALON,Pantalon para dormir de dama marca OYSHO modelo 0306
4633,PRENDAS DE VESTIR,Blusa para dormir de dama amrca OYSHO modelo 1123
4634,PANTALON,Pantalon para dormir de dama marca OYSHO modelo 0332
4635,PRENDAS DE VESTIR,Vestido de colores marca OYSHO modelo 1956
4636,PRENDAS DE VESTIR,Sudadera para dama marca BERSHKA modelo 1803
4637,PRENDAS DE VESTIR,Falda marca BERSHKA modelo 0627
4638,PLAYERAS,Playera para dama marca BERSHKA modelo 2514
4639,PRENDAS DE VESTIR,Short para dama marca BERSHKA modelo 3327
4640,PANTALON,Pantalon de mezclilla para dama 99% algodon 1% elastano  marca PULL&BEAR  Hecho en Pakistan
4641,PRENDAS DE VESTIR,Sueter para dama en color negro 100% acrilico  marca PULL&BEAR  Hecho en China
4642,PLAYERAS,Playera rallada para dama 100% algodon  marca PULL&BEAR  Hecho en Portugal
4643,SHORT,Short de mezclilla para dama 100% algodon  marca PULL&BEAR  Hecho en China
4644,PRENDAS DE VESTIR,Blusa para dama en color negro talla 28 100% viscosa  marca PULL&BEAR  Hecho en Rumania
4645,PRENDAS DE VESTIR,Gabardina para dama 60% poliester 34% algodon  marca PULL&BEAR  Hecho en China
4646,ARTICULOS DE BELLEZA,Coloracion crema de belleza en caja de carton  marca MAJIREL DE L'ORECEL contenido neto 50gr  Hecho en Mexico
4647,ARTICULOS DE BELLEZA,Tinte permanente en crema en caja de carton  marca COLOR TECH contenido neto 90gr  Hecho en Mexico
4648,ARTICULOS PARA EL CABELLO,Gel para cabello en recipiente de plastico en forma de tubo  marca XIOMARA contenido neto 250gr  Hecho en Mexico
4649,ARTICULOS DE BELLEZA,Esmalte para uÑas en recipiente de vidrio  marca RENOVA contenido neto 13ml  Hecho en Mexico
4650,ARTICULOS PARA EL CABELLO,Cepillo para cabello en bolsa de plastico  Hecho en China
4651,ZAPATOS,Calzado para niÑo corte piel  forro sintetico  suela raÑil  marca PERRONCITOS  Hecho en Mexico
4652,ZAPATOS,Calzado para niÑo corte sintetico  forro porcino  suela p.v.c  marca PAOLA D' MILANO  Hecho en Mexico
4653,ZAPATOS,Calzado para niÑo corte piel  forro sintetico/cerdo  sela sintetica  marca TOÑITO  Hecho en Mexico
4654,ZAPATOS,Calzado para dama corte sintetico  forro sintetico y suela de hule  marca FANYLU  Hecho en Mexico
4655,ZAPATOS,Calzado para caballero corte piel/vacuno  forro y suela sintetico  marca KARMA  Hecho en Mexico
4656,ZAPATOS,Calzado para niÑa corte y forro sintetico  suela p.v.c  marca PELUXA  Hecho en Mexico
4657,ROPA,Blusa marca AEROPOSTAL para dama talla chica
4658,PANTALON,PantalÑn marca PUMA para caballero talla-34
4659,ZAPATOS,Calzado marca CONGUITOS para niÑa con una composiciÑn de corte textil  forro textil y suela sintetica.
