nodo,nodo_pr_score
1,0.06404310615294727
395,0.020135497712334867
16,0.017129103387505715
3,0.008693626152773222
378,0.008641051728607956
35,0.007873442239935243
47,0.007863852374263298
13,0.0068038941698562476
226,0.006566651444370539
217,0.006520039573483614
18,0.006295295046942795
9,0.005160582635412339
144,0.004187972739737496
152,0.004090609504779964
2,0.0038914171512858817
5,0.0038357435832546013
221,0.0035020084203378227
218,0.003277779990643206
2479,0.0031665721670757208
401,0.002809194888314417
26,0.0024732958218891534
193,0.002464565158556592
404,0.002411118830011705
33,0.002291284172125978
85,0.002219696814317645
206,0.0019110729481148642
187,0.0018779859974794655
84,0.001767332673146749
67,0.0017610692488700924
49,0.0017566967442873987
382,0.0017212094355746616
60,0.0017024286772072859
94,0.0016612178513423549
264,0.0015484023866161498
4669,0.001492185336147229
21,0.0014696919967235199
185,0.001458605704574791
48,0.0014480404549716984
116,0.0014316798130377861
23,0.0014301356526278883
50,0.0013659622934928271
186,0.0013419366094089042
338,0.0013360328420232244
156,0.0013160522882631452
593,0.0013052110713443312
112,0.0013021746360991442
285,0.0012814449937153113
252,0.0012612702482246436
192,0.0012300678228250712
69,0.0012293856277893166
20,0.001229023133351551
80,0.0012257291505576072
409,0.0012245090524394288
104,0.0011927732931402187
100,0.001187870855691766
75,0.001163274767517147
138,0.0011424611298596397
199,0.0011379749532275994
129,0.0011370752019905816
14,0.0011120959933654338
141,0.0011094982497504278
82,0.0011093507502134886
4,0.0010899445335894418
321,0.0010848905572567143
86,0.0010301004026971466
869,0.0009647053635482503
24,0.0009577188658993151
59,0.0009537413008387867
509,0.000939780662945572
2537,0.0009362599853538189
1519,0.0009238724890524849
53,0.0009234573506038644
176,0.000913637881536781
190,0.0008962143108238258
4691,0.0008883777089025148
600,0.0008694604508909321
223,0.0008398294393924333
57,0.0008359990464524099
417,0.0008332826769355769
284,0.0008327582164075241
2860,0.0008309180421177499
1639,0.0008299380679111505
15,0.0008242034695510453
41,0.0008130114675156087
207,0.0008071900435715553
398,0.0008019516617738543
58,0.0007997697878109164
3444,0.0007884897848843566
92,0.0007849635097744742
2808,0.0007664858482356525
103,0.0007587466034508101
2468,0.0007543358998334853
135,0.0007533781249897276
107,0.0007494594489063503
114,0.0007261952666126938
123,0.0007252581249293348
172,0.0007234698353123753
66,0.0007216277185740852
55,0.0007141532753642107
43,0.0007019735321136329
191,0.0006905259902231231
12,0.0006848401606324811
1271,0.0006774352752940882
1620,0.0006709448902988015
161,0.0006617731934080134
1872,0.0006577397889137947
362,0.0006571676219298791
126,0.0006480172873963865
273,0.0006468253819982647
564,0.0006400803805846527
1823,0.0006372337296734388
369,0.000624511584354711
173,0.0006185347390409936
71,0.0006158452157564215
266,0.0006130913935763968
36,0.0006098193546743033
76,0.0006049376166553677
2810,0.0006011715216396637
111,0.0005988556595657496
105,0.0005958034452345526
6116,0.0005931939255940022
81,0.0005894022311355077
177,0.0005847759160337806
