CATEGORIA,FRECUENCIA
ajedrez,2
autoayuda,2
biografia,2
comedia,2
deportes,3
divulgacion,5
educacion,8
fantasia,25
fantasia epica,13
ficcion,25
ficcion historica,4
filosofia,6
finanzas,2
historia,5
historieta,1
infantil,4
novela,62
poesia,1
politica,5
religion,2
salud,2
satira,1
terror,2
thriller ,2
tragedia,2
