clave,titulo,artista,genero,anio,agregado,bpm,energia,baile,deciBeles,vivo,val,duracion,acustica,palabra,pop,pais
888,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,31/12/1969,98,63,80,-9,9,39,164,9,14,77,italy
698,God Bless (feat. Damso),Hamza,belgian hip hop,2019,31/12/1969,83,57,86,-10,6,23,162,1,12,57,france
493,Golpe Con Golpe,Pastor Lopez,cumbia,2012,31/12/1969,102,62,75,-7,6,97,214,60,6,53,colombia
971,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,31/12/1969,150,65,55,-4,10,16,175,46,8,92,malasya
138,Goteo,Duki,argentine hip hop,2019,31/12/1969,108,78,47,-4,19,44,164,19,4,73,argentina
908,Gurenge,LiSA,anime rock,2019,31/12/1969,135,98,55,-3,8,31,239,0,15,73,japan
999,Haa Tepok,MeerFly,malaysian hip hop,2019,31/12/1969,87,50,85,-12,15,68,211,66,31,65,malasya
936,Hakujitsu,King Gnu,j-pop,2019,31/12/1969,93,90,61,-3,29,75,275,67,11,56,japan
429,Hallelujah,Pentatonix,a cappella,2016,31/12/1969,119,38,32,-7,34,37,269,45,4,82,germany
771,Halu,Feby Putri,NA,2019,31/12/1969,116,25,34,-15,11,10,266,87,4,79,indonesia
915,HANABI,Mr.Children,j-pop,2008,31/12/1969,112,77,64,-6,12,60,343,16,3,68,japan
874,Happy Xmas (War Is Over),Céline Dion,canadian pop,1998,31/12/1969,172,60,34,-5,28,16,255,45,3,82,italy
587,Hasta Que Salga el Sol,Ozuna,latin,2019,31/12/1969,96,82,83,-5,13,60,188,2,7,81,spain
749,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,2019,31/12/1969,95,98,71,-3,34,57,209,2,8,56,india
197,Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,1960,31/12/1969,112,25,61,-9,22,48,176,96,4,73,australia
669,Hé oh,Gambi,pop urbaine,2019,31/12/1969,105,59,83,-5,20,54,178,7,15,79,france
708,Heartless,The Weeknd,canadian contemporary r&b,2019,31/12/1969,170,75,53,-6,12,20,200,1,11,94,india
810,HIGHEST IN THE ROOM,Travis Scott,rap,2019,31/12/1969,76,43,60,-9,21,6,176,5,3,96,israel
944,Hikoutei,King Gnu,j-pop,2019,31/12/1969,80,85,47,-3,33,49,262,4,5,50,japan
308,Hit Contagiante,Felipe Original,brega funk,2019,31/12/1969,170,68,82,-7,9,96,137,13,12,84,brazil
248,Hoe Het Danst,Marco Borsato,dutch cabaret,2019,31/12/1969,130,86,69,-3,19,42,253,6,5,75,belgium
568,Hola - Remix,Dalex,latin,2019,31/12/1969,182,67,65,-6,8,34,250,47,31,89,spain
897,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,2019,31/12/1969,78,79,42,-6,11,50,220,1,27,74,italy
992,Holly Jolly Christmas,Michael Bublé,adult standards,2011,31/12/1969,151,43,61,-9,9,74,122,86,4,82,malasya
707,hot girl bummer,blackbear,pop,2019,31/12/1969,130,56,78,-7,40,68,185,13,8,96,india
966,How Do You Sleep?,Sam Smith,pop,2019,31/12/1969,111,68,48,-5,8,35,202,15,9,93,malasya
200,How to Make Gravy,Paul Kelly,australian alternative rock,2019,31/12/1969,95,72,40,-7,25,39,269,6,4,45,australia
765,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,31/12/1969,102,68,80,-5,9,84,220,9,4,85,indonesia
772,I Love You 3000,Stephanie Poetri,indonesian pop,2019,31/12/1969,90,38,65,-8,39,41,210,91,4,79,indonesia
790,I Love You but I'm Letting Go,Pamungkas,indonesian indie,2018,31/12/1969,80,32,39,-9,11,13,220,97,3,71,indonesia
633,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,31/12/1969,129,71,58,-8,82,61,181,26,5,84,usa
983,I.F.L.Y.,Bazzi,pop,2019,31/12/1969,105,52,81,-5,13,55,166,38,4,87,malasya
731,Ik Tera,Maninder Buttar,desi pop,2019,31/12/1969,93,71,83,-5,11,49,161,10,7,68,india
85,I'll Be Home for Christmas,Michael Bublé,adult standards,2011,31/12/1969,82,11,25,-14,16,15,268,94,3,78,africa
542,Imaginaste - Remix,Jhay Cortez,latin,2019,31/12/1969,90,71,85,-5,34,60,247,4,9,79,chile
444,In der Weihnachtsbäckerei,Rolf Zuckowski,german pop,1987,31/12/1969,146,45,82,-9,20,92,173,49,4,72,germany
563,Indeciso,Reik,latin,2019,31/12/1969,95,75,74,-5,11,90,217,18,5,90,spain
544,Infeliz,Arcangel,latin,2019,31/12/1969,176,80,71,-3,25,72,221,37,22,74,chile
979,Into the Unknown,Idina Menzel,hollywood,2019,31/12/1969,145,41,32,-9,14,27,195,85,4,88,malasya
317,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,31/12/1969,135,86,78,-4,93,70,157,48,5,82,brazil
990,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,31/12/1969,93,22,33,-11,34,36,207,88,3,84,malasya
16,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,31/12/1969,202,60,24,-8,12,78,152,77,4,92,world
759,It's You,Ali Gatie,canadian hip hop,2019,31/12/1969,96,46,73,-7,19,40,213,37,3,90,indonesia
729,"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,desi pop,2019,31/12/1969,129,90,83,-5,7,53,231,26,8,68,india
680,Jamais,Mister V,french hip hop,2019,31/12/1969,150,67,64,-7,11,79,192,43,9,75,france
94,Jerusalem,Master KG,kwaito house,2019,31/12/1969,124,47,88,-7,6,84,343,2,5,51,africa
972,Jingle Bell Rock,Bobby Helms,adult standards,1992,31/12/1969,120,42,75,-8,7,81,131,64,4,92,malasya
387,Joy To The World,Nat King Cole,adult standards,1962,31/12/1969,102,34,55,-10,11,66,85,82,3,84,canada
743,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,desi pop,2019,31/12/1969,138,46,39,-7,11,15,235,45,4,62,india
733,Kalank (Title Track),Arijit Singh,desi pop,2019,31/12/1969,118,55,57,-8,9,44,311,52,4,68,india
449,KARMA,Nimo,german hip hop,2019,31/12/1969,160,64,69,-6,33,53,255,14,8,59,germany
791,Kartonyono Medot Janji,Denny Caknan,NA,2019,31/12/1969,130,78,73,-6,21,75,262,31,3,71,indonesia
448,KEIN SCHLAF,Nimo,german hip hop,2019,31/12/1969,174,70,61,-6,12,43,200,31,17,61,germany
442,Keine Liebe,RIN,german cloud rap,2019,31/12/1969,104,80,80,-5,31,57,198,13,4,72,germany
793,Kenangan Manis,Pamungkas,indonesian indie,2018,31/12/1969,140,68,60,-7,9,72,208,5,3,69,indonesia
495,La Burrita,Los Corraleros De Majagual,cumbia,2012,31/12/1969,127,63,86,-5,8,95,157,46,10,51,colombia
596,La Cama,Lunay,latin,2019,31/12/1969,174,90,70,-3,18,82,189,20,6,74,spain
508,LA CANCIÓN,J Balvin,latin,2019,31/12/1969,176,65,75,-6,11,43,243,15,32,93,chile
150,La Cola,Los Palmeras,argentine rock,2016,31/12/1969,93,79,78,-5,12,87,169,36,6,63,argentina
300,La Difícil,Camilo,colombian pop,2019,31/12/1969,65,36,68,-7,16,55,159,67,11,71,bolivia
485,La Noche,Joe Arroyo,cumbia,1999,31/12/1969,106,68,73,-5,6,83,264,25,4,55,colombia
590,La Rubia - Remix 2,La Nueva Escuela,dembow,2019,31/12/1969,110,72,76,-4,38,75,211,32,13,77,spain
676,La vie qu'on mène,Ninho,french hip hop,2019,31/12/1969,113,76,80,-4,11,46,193,69,4,76,france
90,Labantwana Ama Uber,Semi Tee,amapiano,2019,31/12/1969,112,62,87,-10,5,53,384,4,8,52,africa
813,Lalala,Y2K,pop rap,2019,31/12/1969,130,39,84,-8,14,50,161,18,8,93,israel
750,"Lamborghini (From ""Jai Mummy Di"")",Meet Bros.,desi pop,2019,31/12/1969,NA,NA,NA,NA,NA,NA,247,NA,NA,48,india
499,Las Caleñas,Pastor Lopez Y Su Combo,cumbia,2010,31/12/1969,204,74,55,-7,8,94,212,34,10,48,colombia
491,Las Cuatro Fiestas,Diomedes Diaz,cumbia,2006,31/12/1969,131,92,51,-5,15,97,275,16,26,54,colombia
989,Last Christmas,Wham!,new wave pop,1984,31/12/1969,108,48,74,-12,36,95,263,19,3,85,malasya
776,Lebih Dari Egoku,Mawar De Jongh,indonesian pop,2019,31/12/1969,80,39,67,-8,10,33,249,74,3,77,indonesia
321,Lençol Dobrado,João Gustavo e Murilo,funk carioca,2018,31/12/1969,125,66,71,-5,33,67,179,36,4,81,brazil
660,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,31/12/1969,134,24,45,-14,18,70,117,91,4,89,france
306,Liberdade Provisória,Henrique & Juliano,sertanejo universitario,2019,31/12/1969,108,68,67,-6,92,70,188,63,5,84,brazil
627,Like It's Christmas,Jonas Brothers,boy band,2019,31/12/1969,146,57,73,-6,5,61,201,2,10,87,usa
184,Little Saint Nick - 1991 Remix,The Beach Boys,baroque pop,1964,31/12/1969,131,55,60,-9,5,97,119,11,3,83,australia
770,Location Unknown <U+25D0> - Brooklyn Session,HONNE,uk pop,2019,31/12/1969,92,29,51,-7,8,40,328,94,4,80,indonesia
