Date,WBA,ZBRA,PENN,NEM,NTRS,VRTX,POOL,TT,ODFL,LNC,TYL,HES,SEE,CSCO,OGN,NOC,JKHY,PSX,ZBH,NSC,DHR,STZ,MET,RE,NI,NWSA,EIX,COST,HCA,ZION,BMY,NLSN,MA,AXP,TAP,UDR,MTCH,AOS,ICE,RL,ROST,TTWO,FE,LOW,OKE,PCAR,CB,ADBE,CDAY,MO
2020-04-29,45.36000061035156,244.97000122070312,18.610000610351562,62.349998474121094,82.04000091552734,251.0500030517578,217.7100067138672,90.33999633789062,148.61000061035156,36.599998474121094,320.989990234375,49.0099983215332,29.649999618530273,43.34000015258789,,331.8299865722656,161.27999877929688,73.5,117.33980560302734,180.3300018310547,164.97000122070312,169.4199981689453,37.47999954223633,184.4499969482422,25.93000030517578,10.5,60.369998931884766,307.0899963378906,113.33000183105469,32.13999938964844,61.630001068115234,13.960000038146973,283.69000244140625,96.12000274658203,46.16999816894531,38.11000061035156,79.58999633789062,44.060001373291016,90.69999694824219,80.97000122070312,97.05000305175781,121.18000030517578,42.349998474121094,106.16000366210938,30.920000076293945,69.58999633789062,112.06999969482422,349.1700134277344,59.83000183105469,40.470001220703125
2020-04-30,43.290000915527344,229.66000366210938,17.81999969482422,59.47999954223633,79.16000366210938,251.1999969482422,211.66000366210938,87.41999816894531,145.2899932861328,35.470001220703125,320.69000244140625,48.63999938964844,28.59000015258789,42.380001068115234,,330.6700134277344,163.5500030517578,73.16999816894531,116.21359252929688,171.10000610351562,163.4600067138672,164.69000244140625,36.08000183105469,173.1300048828125,25.110000610351562,9.90999984741211,58.709999084472656,303.0,109.87999725341797,31.610000610351562,60.810001373291016,14.729999542236328,274.9700012207031,91.25,41.0099983215332,37.470001220703125,76.95999908447266,42.380001068115234,89.44999694824219,73.77999877929688,91.36000061035156,121.05000305175781,41.27000045776367,104.75,29.93000030517578,69.2300033569336,108.01000213623047,353.6400146484375,58.970001220703125,39.25
2020-05-01,41.65999984741211,225.5500030517578,15.539999961853027,60.9900016784668,75.47000122070312,254.89999389648438,216.02000427246094,86.80999755859375,147.02999877929688,32.47999954223633,314.7799987792969,44.279998779296875,28.219999313354492,40.91999816894531,,328.05999755859375,158.5,66.36000061035156,112.86407470703125,170.72999572753906,160.77000427246094,161.57000732421875,34.68000030517578,165.00999450683594,24.469999313354492,9.479999542236328,55.689998626708984,301.9200134277344,104.86000061035156,30.899999618530273,60.2599983215332,13.960000038146973,268.739990234375,88.31999969482422,38.91999816894531,36.099998474121094,74.63999938964844,41.650001525878906,88.66999816894531,73.08999633789062,88.95999908447266,122.6500015258789,40.84000015258789,104.45999908447266,27.940000534057617,68.29000091552734,101.58999633789062,343.8399963378906,56.70000076293945,37.90999984741211
2020-05-04,42.45000076293945,228.77000427246094,15.609999656677246,62.7400016784668,74.95999908447266,264.69000244140625,214.80999755859375,85.1500015258789,148.07000732421875,32.709999084472656,314.739990234375,46.290000915527344,27.209999084472656,41.349998474121094,,322.55999755859375,162.02999877929688,73.4800033569336,110.74757385253906,168.00999450683594,161.1199951171875,163.75,34.18000030517578,162.82000732421875,24.399999618530273,9.640000343322754,56.33000183105469,304.489990234375,103.61000061035156,30.670000076293945,60.16999816894531,14.149999618530273,269.260009765625,86.37999725341797,38.189998626708984,36.540000915527344,77.18000030517578,41.97999954223633,89.66999816894531,71.87000274658203,88.38999938964844,124.91000366210938,41.189998626708984,107.3499984741211,29.190000534057617,68.37000274658203,99.33999633789062,349.1099853515625,58.619998931884766,38.0099983215332
2020-05-05,42.02000045776367,233.14999389648438,15.729999542236328,64.91000366210938,73.06999969482422,272.3299865722656,221.86000061035156,82.16000366210938,153.63999938964844,32.470001220703125,322.55999755859375,46.13999938964844,29.219999313354492,41.459999084472656,,328.739990234375,176.1999969482422,75.19999694824219,114.58252716064453,171.36000061035156,164.4499969482422,163.00999450683594,34.27000045776367,167.7100067138672,24.530000686645508,9.550000190734863,56.38999938964844,307.9200134277344,106.45999908447266,30.18000030517578,61.36000061035156,13.520000457763672,273.9800109863281,86.73999786376953,37.439998626708984,36.599998474121094,80.0999984741211,42.15999984741211,92.97000122070312,72.31999969482422,88.7699966430664,125.27999877929688,41.68000030517578,110.1500015258789,29.93000030517578,68.05999755859375,100.16000366210938,356.1300048828125,60.060001373291016,36.79999923706055
2020-05-06,41.20000076293945,232.4199981689453,15.760000228881836,62.43000030517578,72.06999969482422,270.05999755859375,222.32000732421875,79.81999969482422,152.2899932861328,29.90999984741211,326.3599853515625,45.0099983215332,27.469999313354492,41.150001525878906,,323.0299987792969,178.5,71.91000366210938,112.50485229492188,168.19000244140625,163.97999572753906,165.47999572753906,32.970001220703125,164.47000122070312,22.920000076293945,9.670000076293945,54.040000915527344,308.8900146484375,99.4800033569336,29.8799991607666,61.130001068115234,13.149999618530273,272.44000244140625,84.0,37.68000030517578,36.04999923706055,87.3499984741211,43.650001525878906,91.73999786376953,71.12999725341797,88.86000061035156,127.7300033569336,40.0,109.62000274658203,28.649999618530273,68.30000305175781,95.25,362.5199890136719,61.869998931884766,35.72999954223633
2020-05-07,40.65999984741211,233.86000061035156,18.18000030517578,64.55999755859375,73.94000244140625,270.010009765625,218.6999969482422,81.02999877929688,149.7100067138672,34.77000045776367,332.5899963378906,46.400001525878906,28.530000686645508,41.369998931884766,,324.1400146484375,183.80999755859375,73.30999755859375,115.92233276367188,169.5800018310547,163.47999572753906,164.77000427246094,34.439998626708984,173.8300018310547,22.899999618530273,9.649999618530273,54.529998779296875,305.0,102.54000091552734,29.56999969482422,61.040000915527344,13.680000305175781,278.4700012207031,86.7300033569336,37.599998474121094,37.84000015258789,82.62999725341797,43.310001373291016,93.08999633789062,70.2300033569336,89.8499984741211,128.77999877929688,40.209999084472656,111.91999816894531,29.75,68.61000061035156,98.98999786376953,366.7799987792969,64.48999786376953,35.099998474121094
2020-05-08,41.66999816894531,242.9199981689453,18.43000030517578,64.55000305175781,75.98999786376953,271.6300048828125,224.64999389648438,84.38999938964844,152.75999450683594,36.650001525878906,330.2300109863281,48.47999954223633,29.639999389648438,42.9900016784668,,327.6499938964844,182.7899932861328,77.05999755859375,118.31067657470703,174.75,161.42999267578125,166.05999755859375,35.220001220703125,176.8000030517578,23.270000457763672,10.930000305175781,57.04999923706055,305.94000244140625,107.91999816894531,30.719999313354492,61.04999923706055,14.149999618530273,282.44000244140625,89.5,38.88999938964844,38.34000015258789,79.98999786376953,44.790000915527344,93.5199966430664,72.08000183105469,91.45999908447266,129.85000610351562,40.599998474121094,114.2300033569336,31.329999923706055,69.62000274658203,101.94999694824219,367.510009765625,65.26000213623047,36.7400016784668
2020-05-11,41.709999084472656,235.25999450683594,18.65999984741211,62.95000076293945,74.7699966430664,285.2799987792969,227.72999572753906,80.9800033569336,155.75,35.279998779296875,335.6099853515625,47.130001068115234,29.350000381469727,43.31999969482422,,327.4700012207031,186.75,76.66999816894531,114.55339813232422,174.05999755859375,161.7100067138672,163.3000030517578,33.970001220703125,178.99000549316406,23.489999771118164,10.699999809265137,56.81999969482422,310.3299865722656,104.13999938964844,29.209999084472656,62.65999984741211,13.9399995803833,281.2300109863281,85.33000183105469,38.540000915527344,37.779998779296875,79.94000244140625,43.939998626708984,94.0999984741211,69.41000366210938,90.75,132.58999633789062,40.41999816894531,113.38999938964844,31.3799991607666,68.83000183105469,101.83000183105469,371.4200134277344,66.1500015258789,36.41999816894531
2020-05-12,40.529998779296875,230.1999969482422,17.75,62.47999954223633,72.8499984741211,276.4700012207031,221.58999633789062,76.76000213623047,154.5399932861328,33.04999923706055,331.8999938964844,44.79999923706055,29.350000381469727,43.220001220703125,,325.510009765625,185.25999450683594,73.52999877929688,110.28155517578125,166.7899932861328,160.27000427246094,160.52000427246094,32.369998931884766,172.00999450683594,22.770000457763672,10.59000015258789,56.40999984741211,304.8399963378906,99.55000305175781,27.829999923706055,63.349998474121094,12.960000038146973,272.1099853515625,83.13999938964844,37.689998626708984,36.130001068115234,77.81999969482422,42.08000183105469,92.55000305175781,65.52999877929688,86.62000274658203,131.6199951171875,39.599998474121094,111.23999786376953,32.939998626708984,66.83999633789062,101.58999633789062,365.1000061035156,64.8499984741211,36.08000183105469
