Date,WBA,ZBRA,PENN,NEM,NTRS,VRTX,POOL,TT,ODFL,LNC,TYL,HES,SEE,CSCO,OGN,NOC,JKHY,PSX,ZBH,NSC,DHR,STZ,MET,RE,NI
2020-04-29,45.36000061035156,244.97000122070312,18.610000610351562,62.349998474121094,82.04000091552734,251.0500030517578,217.7100067138672,90.33999633789062,148.61000061035156,36.599998474121094,320.989990234375,49.0099983215332,29.649999618530273,43.34000015258789,,331.8299865722656,161.27999877929688,73.5,117.33980560302734,180.3300018310547,164.97000122070312,169.4199981689453,37.47999954223633,184.4499969482422,25.93000030517578
2020-04-30,43.290000915527344,229.66000366210938,17.81999969482422,59.47999954223633,79.16000366210938,251.1999969482422,211.66000366210938,87.41999816894531,145.2899932861328,35.470001220703125,320.69000244140625,48.63999938964844,28.59000015258789,42.380001068115234,,330.6700134277344,163.5500030517578,73.16999816894531,116.21359252929688,171.10000610351562,163.4600067138672,164.69000244140625,36.08000183105469,173.1300048828125,25.110000610351562
2020-05-01,41.65999984741211,225.5500030517578,15.539999961853027,60.9900016784668,75.47000122070312,254.89999389648438,216.02000427246094,86.80999755859375,147.02999877929688,32.47999954223633,314.7799987792969,44.279998779296875,28.219999313354492,40.91999816894531,,328.05999755859375,158.5,66.36000061035156,112.86407470703125,170.72999572753906,160.77000427246094,161.57000732421875,34.68000030517578,165.00999450683594,24.469999313354492
2020-05-04,42.45000076293945,228.77000427246094,15.609999656677246,62.7400016784668,74.95999908447266,264.69000244140625,214.80999755859375,85.1500015258789,148.07000732421875,32.709999084472656,314.739990234375,46.290000915527344,27.209999084472656,41.349998474121094,,322.55999755859375,162.02999877929688,73.4800033569336,110.74757385253906,168.00999450683594,161.1199951171875,163.75,34.18000030517578,162.82000732421875,24.399999618530273
2020-05-05,42.02000045776367,233.14999389648438,15.729999542236328,64.91000366210938,73.06999969482422,272.3299865722656,221.86000061035156,82.16000366210938,153.63999938964844,32.470001220703125,322.55999755859375,46.13999938964844,29.219999313354492,41.459999084472656,,328.739990234375,176.1999969482422,75.19999694824219,114.58252716064453,171.36000061035156,164.4499969482422,163.00999450683594,34.27000045776367,167.7100067138672,24.530000686645508
2020-05-06,41.20000076293945,232.4199981689453,15.760000228881836,62.43000030517578,72.06999969482422,270.05999755859375,222.32000732421875,79.81999969482422,152.2899932861328,29.90999984741211,326.3599853515625,45.0099983215332,27.469999313354492,41.150001525878906,,323.0299987792969,178.5,71.91000366210938,112.50485229492188,168.19000244140625,163.97999572753906,165.47999572753906,32.970001220703125,164.47000122070312,22.920000076293945
2020-05-07,40.65999984741211,233.86000061035156,18.18000030517578,64.55999755859375,73.94000244140625,270.010009765625,218.6999969482422,81.02999877929688,149.7100067138672,34.77000045776367,332.5899963378906,46.400001525878906,28.530000686645508,41.369998931884766,,324.1400146484375,183.80999755859375,73.30999755859375,115.92233276367188,169.5800018310547,163.47999572753906,164.77000427246094,34.439998626708984,173.8300018310547,22.899999618530273
2020-05-08,41.66999816894531,242.9199981689453,18.43000030517578,64.55000305175781,75.98999786376953,271.6300048828125,224.64999389648438,84.38999938964844,152.75999450683594,36.650001525878906,330.2300109863281,48.47999954223633,29.639999389648438,42.9900016784668,,327.6499938964844,182.7899932861328,77.05999755859375,118.31067657470703,174.75,161.42999267578125,166.05999755859375,35.220001220703125,176.8000030517578,23.270000457763672
2020-05-11,41.709999084472656,235.25999450683594,18.65999984741211,62.95000076293945,74.7699966430664,285.2799987792969,227.72999572753906,80.9800033569336,155.75,35.279998779296875,335.6099853515625,47.130001068115234,29.350000381469727,43.31999969482422,,327.4700012207031,186.75,76.66999816894531,114.55339813232422,174.05999755859375,161.7100067138672,163.3000030517578,33.970001220703125,178.99000549316406,23.489999771118164
2020-05-12,40.529998779296875,230.1999969482422,17.75,62.47999954223633,72.8499984741211,276.4700012207031,221.58999633789062,76.76000213623047,154.5399932861328,33.04999923706055,331.8999938964844,44.79999923706055,29.350000381469727,43.220001220703125,,325.510009765625,185.25999450683594,73.52999877929688,110.28155517578125,166.7899932861328,160.27000427246094,160.52000427246094,32.369998931884766,172.00999450683594,22.770000457763672
2020-05-13,38.349998474121094,223.0800018310547,16.540000915527344,63.88999938964844,70.25,277.0299987792969,216.36000061035156,76.6500015258789,149.55999755859375,30.739999771118164,331.739990234375,42.36000061035156,28.209999084472656,41.95000076293945,,320.4599914550781,185.0800018310547,71.02999877929688,107.83495330810547,164.5399932861328,159.88999938964844,155.32000732421875,30.770000457763672,164.22000122070312,22.40999984741211
2020-05-14,38.849998474121094,221.77000427246094,17.719999313354492,66.63999938964844,72.26000213623047,277.0,217.7100067138672,78.31999969482422,148.14999389648438,32.5,334.0400085449219,42.77000045776367,29.3700008392334,43.849998474121094,,311.92999267578125,185.22999572753906,71.75,108.83495330810547,166.58999633789062,161.66000366210938,157.9600067138672,31.829999923706055,161.72000122070312,22.489999771118164
2020-05-15,38.400001525878906,217.8000030517578,19.350000381469727,67.9000015258789,71.12999725341797,288.69000244140625,222.97000122070312,77.20999908447266,149.0500030517578,32.75,354.75,44.06999969482422,28.760000228881836,44.27000045776367,,321.6300048828125,189.7899932861328,70.93000030517578,109.11650848388672,160.36000061035156,163.85000610351562,158.49000549316406,31.719999313354492,168.94000244140625,22.3700008392334
